,1,6,11,16,21,26,Scaler,CV Folds,Scoring Metric
0,0.058671213937131116,0.0588070725266136,0.06198679811440784,0.057454593156067095,0.05930470883729752,0.055529833670333525,"MinMaxScaler(copy=True, feature_range=(0, 1))",3,f1
0,0.07608834074830323,0.07610480593430577,0.07691430467108792,0.0751170342096924,0.0728529277276255,0.07161828363817757,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,f1
0,0.07685587193874939,0.08673465275038089,0.09452561521394472,0.09362366120558104,0.09142081137609152,0.08806153809263964,"MinMaxScaler(copy=True, feature_range=(0, 1))",10,f1
0,0.07117238677838877,0.07473160818204015,0.07477252443494413,0.0749606427876637,0.07371923862009824,0.07703347851133752,"StandardScaler(copy=True, with_mean=True, with_std=True)",5,f1
0,0.07750933756816003,0.07836461996780864,0.08296072444161877,0.07656402725682052,0.07509009351650053,0.07508006113537628,MaxAbsScaler(copy=True),5,f1
0,0.04329366605643562,0.04477348854490426,0.044498043757331414,0.04396420704121366,0.0515138691439677,0.05246945063128355,,5,f1
0,0.07125565631011345,0.06876350249416208,0.0691284164088125,0.07028693334820595,0.07067563052171943,0.07233102247985759,"RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
       with_scaling=True)",5,f1
0,0.09113167108392231,0.08795938440336355,0.09079295602496819,0.08673302222534426,0.08472458924680426,0.08166709759690706,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,accuracy
0,0.11832258668123695,0.08980316656482691,0.0806928064177278,0.07065775741517312,0.06227029920760109,0.05674823028605624,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,average_precision
0,0.12161696722028374,0.1195794485629666,0.12230584753584839,0.11837882374481568,0.11748156182636642,0.11370559236472692,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,precision
0,0.03473783801716084,0.04470903617198338,0.03791632004150193,0.04521029879963405,0.04188482796366013,0.04381478817136685,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,recall
0,0.08852559533279554,0.06189771828822886,0.057772900659722785,0.052916264591930016,0.04884615110706906,0.04632125057506647,"MinMaxScaler(copy=True, feature_range=(0, 1))",5,roc_auc
0,0.03942179813496971,0.0487015549542848,0.05139052993459484,0.05145820105860588,0.0570822176503374,0.05939277414977656,"MinMaxScaler(copy=True, feature_range=(0, 1))",20,f1
